Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,490,T:System.Web.UI.WebControls.TextBox,,,,,txtEmployer
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,429,T:System.Web.UI.WebControls.TextBox,,,,,txtEmail
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,365,T:System.Web.UI.WebControls.TextBox,,,,,txtLastName
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,300,T:System.Web.UI.WebControls.TextBox,,,,,txtFirstName
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,234,T:System.Web.UI.WebControls.TextBox,,,,,txtCustomerId
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,163,T:System.Web.UI.WebControls.Wizard,,,,,wizLoanApplication
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,98,T:System.Web.UI.UpdatePanel,,,,,updLoanWizard
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3865,M:System.Net.WebRequest.Create(System.String),,,,,var r=(HttpWebRequest)WebRequest.Create(url);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3767,T:System.Configuration.ConfigurationManager,,,,,"var url=ConfigurationManager.AppSettings[""LoanOriginationApiUrl""]??"""";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Default.aspx.cs,0,3767,P:System.Configuration.ConfigurationManager.AppSettings,,,,,"var url=ConfigurationManager.AppSettings[""LoanOriginationApiUrl""]??"""";"
